Rank,School,Conf,Prev,Quad 1 W,Quad 1 L,Quad 2 W,Quad 2 L,Quad 3 W,Quad 3 L,Quad 4 W,Quad 4 L,W,L,Road W,Road L,Home W,Home L,Neutral W,Neutral L,Non-Div I W,Non-Div I L
91,Hofstra,CAA,91,0,1,2,1,2,2,5,0,9,4,5,4,2,0,2,0,2,0
92,Colorado St.,Mountain West,90,0,1,4,2,0,1,5,1,9,5,2,1,5,3,2,1,1,0
93,William & Mary,CAA,93,0,2,1,1,1,1,7,0,9,4,3,4,4,0,2,0,2,0
94,Hawaii,Big West,95,0,0,0,2,0,1,9,0,9,3,1,2,8,1,0,0,2,0
95,SFA,Southland,96,0,1,0,1,1,1,9,0,10,3,5,3,5,0,0,0,2,0
96,Cincinnati,Big 12,98,0,4,0,2,3,0,5,1,8,7,0,2,8,2,0,3,0,0
97,Arizona St.,Big 12,94,0,4,4,1,1,0,4,1,9,6,1,2,4,3,4,1,0,0
98,Wichita St.,American,81,0,2,2,1,0,3,6,1,8,7,2,2,6,2,0,3,1,0
99,Grand Canyon,Mountain West,117,1,2,1,1,1,1,6,1,9,5,2,1,6,2,1,2,0,0
100,Fla. Atlantic,American,106,0,2,1,2,4,2,3,0,8,6,2,3,4,1,2,2,2,0
101,Columbia,Ivy League,100,0,2,0,0,2,0,8,1,10,3,5,3,5,0,0,0,2,0
102,Oregon,Big Ten,101,0,4,0,2,2,1,6,0,8,7,1,2,7,1,0,4,0,0
103,Middle Tenn.,CUSA,102,0,3,1,2,2,0,3,0,6,5,1,2,4,1,1,2,3,0
104,Ole Miss,SEC,99,0,5,0,1,2,1,6,0,8,7,0,2,6,2,2,3,0,0
105,Bowling Green,MAC,103,1,0,0,2,2,3,5,0,8,5,3,2,3,3,2,0,3,0
106,Memphis,American,104,0,3,1,3,3,0,3,1,7,7,1,3,6,2,0,2,0,0
107,Sam Houston,CUSA,107,0,2,0,1,4,3,1,0,5,6,2,6,1,0,2,0,3,0
108,San Francisco,WCC,109,0,1,3,3,2,1,5,1,10,6,1,3,6,1,3,2,1,0
109,Richmond,Atlantic 10,120,1,0,1,1,4,2,5,1,11,4,3,1,7,2,1,1,1,0
110,Seattle U,WCC,108,1,2,1,0,3,2,5,1,10,5,3,2,6,2,1,1,2,0
111,Liberty,CUSA,112,0,1,1,0,3,2,4,0,8,3,2,1,5,0,1,2,3,0
112,Pittsburgh,ACC,111,0,3,1,3,1,2,5,0,7,8,0,3,6,4,1,1,0,0
113,UNCW,CAA,115,0,0,0,0,2,1,10,1,12,2,4,1,8,1,0,0,2,0
114,Penn St.,Big Ten,116,0,4,0,1,0,1,9,0,9,6,1,1,7,3,1,2,0,0
115,Florida St.,ACC,114,0,6,0,1,0,1,7,0,7,8,0,3,7,2,0,3,0,0
116,St. Bonaventure,Atlantic 10,105,0,2,2,0,1,2,7,0,10,4,2,1,6,1,2,2,1,0
117,Bradley,MVC,128,0,2,0,2,4,1,6,1,10,6,1,3,7,1,2,2,1,0
118,UAB,American,110,1,1,0,1,3,3,5,1,9,6,2,2,5,4,2,0,1,0
119,Pacific,WCC,118,0,2,0,2,1,2,8,0,9,6,2,6,5,0,2,0,2,0
120,Davidson,Atlantic 10,127,0,3,0,0,5,0,4,2,9,5,3,1,5,3,1,1,1,0
121,St. Thomas (MN),Summit League,122,0,1,0,0,3,2,7,1,10,4,3,3,6,0,1,1,3,0
122,California Baptist,WAC,125,0,2,1,2,1,2,8,0,10,6,3,5,6,0,1,1,0,0
123,Xavier,Big East,119,0,3,1,3,3,1,5,0,9,7,1,3,7,3,1,1,0,0
124,Oakland,Horizon,123,0,5,0,2,4,1,3,0,7,8,3,7,3,0,1,1,1,0
125,DePaul,Big East,121,0,4,1,0,3,2,6,0,10,6,1,2,8,3,1,1,0,0
126,Arkansas St.,Sun Belt,134,0,2,0,1,6,0,3,2,9,5,5,4,4,1,0,0,2,0
127,Southern Ill.,MVC,113,1,1,1,5,0,3,5,0,7,9,2,7,4,1,1,1,1,0
128,UT Arlington,WAC,129,0,2,0,1,4,1,4,1,8,5,5,3,3,1,0,1,2,0
129,ETSU,SoCon,124,0,1,0,1,1,1,8,2,9,5,2,4,7,1,0,0,2,0
130,Marshall,Sun Belt,133,0,1,0,2,6,2,4,0,10,5,3,4,7,1,0,0,1,0
131,Wright St.,Horizon,130,0,2,0,2,1,3,6,0,7,7,2,4,4,2,1,1,2,0
132,UC Irvine,Big West,131,0,0,0,2,3,3,6,0,9,5,3,1,3,3,3,1,2,0
133,Mercer,SoCon,146,0,3,0,1,2,3,4,0,6,7,2,7,4,0,0,0,3,0
134,Buffalo,MAC,132,0,0,1,0,0,1,10,1,11,2,5,1,4,1,2,0,2,0
135,Troy,Sun Belt,126,1,1,1,1,3,3,3,1,8,6,4,4,3,1,1,1,2,0
136,Georgetown,Big East,138,0,2,1,3,2,1,6,0,9,6,2,2,7,2,0,2,0,0
137,Marist,MAAC,135,0,0,0,1,1,2,7,2,8,5,2,4,6,1,0,0,1,0
138,Lipscomb,ASUN,144,0,3,1,2,1,0,5,1,7,6,2,6,5,0,0,0,2,0
139,Idaho St.,Big Sky,136,0,2,0,2,1,2,4,1,5,7,2,4,2,2,1,1,3,0
140,LMU (CA),WCC,141,0,3,0,1,4,2,5,1,9,7,2,2,6,4,1,1,1,0
141,Montana St.,Big Sky,137,0,4,0,0,3,1,2,2,5,7,2,6,3,1,0,0,3,0
142,Tarleton St.,WAC,143,0,3,1,1,1,1,5,0,7,5,3,4,4,1,0,0,4,0
143,Western Ky.,CUSA,140,0,1,1,3,1,1,5,0,7,5,1,2,5,1,1,2,2,0
144,Utah,Big 12,145,0,4,0,2,3,0,5,1,8,7,0,3,7,2,1,2,0,0
145,New Mexico St.,CUSA,139,0,1,1,0,2,3,2,1,5,5,0,3,3,0,2,2,3,0
146,Portland St.,Big Sky,147,0,2,0,1,3,1,2,1,5,5,4,4,1,1,0,0,3,0
147,North Dakota St.,Summit League,148,0,0,0,1,3,3,6,1,9,5,3,4,5,0,1,1,3,0
148,Northern Colo.,Big Sky,150,1,1,0,0,1,3,5,1,7,5,5,3,1,1,1,1,3,0
149,Idaho,Big Sky,149,0,1,0,1,3,2,3,1,6,5,3,4,2,0,1,1,3,0
150,Elon,CAA,152,0,2,0,1,3,2,4,1,7,6,3,3,4,3,0,0,2,0
151,Georgia Tech,ACC,153,0,2,0,0,1,4,9,0,10,6,0,2,10,2,0,2,0,0
152,Kent St.,MAC,154,0,1,0,0,5,2,5,0,10,3,1,2,7,1,2,0,2,0
153,Quinnipiac,MAAC,155,0,2,1,2,3,0,6,1,10,5,4,4,6,1,0,0,1,0
154,Washington St.,WCC,158,0,2,0,5,4,2,3,0,7,9,1,4,5,3,1,2,1,0
155,Fresno St.,Mountain West,157,0,2,0,0,2,4,4,2,6,8,1,3,4,5,1,0,1,0
156,North Texas,American,151,0,1,1,4,1,1,6,0,8,6,1,3,6,2,1,1,2,0
157,Cornell,Ivy League,156,0,2,0,1,0,3,5,1,5,7,3,6,2,1,0,0,2,0
158,Marquette,Big East,168,0,5,0,2,1,2,5,1,6,10,0,4,6,4,0,2,0,0
159,Furman,SoCon,167,0,0,0,3,3,1,5,1,8,5,3,1,4,2,1,2,3,0
160,Toledo,MAC,161,0,1,1,2,1,2,5,1,7,6,3,3,3,2,1,1,2,0
161,Rhode Island,Atlantic 10,142,1,1,0,3,2,1,6,2,9,7,1,2,6,3,2,2,0,0
162,A&M-Corpus Christi,Southland,165,0,3,0,2,2,1,2,1,4,7,3,6,1,1,0,0,4,0
163,Austin Peay,ASUN,164,0,1,0,2,1,2,5,0,6,5,2,5,4,0,0,0,2,0
164,Maryland,Big Ten,162,0,6,0,0,2,2,5,0,7,8,1,2,4,4,2,2,0,0
165,Temple,American,163,0,1,1,1,2,1,7,2,10,5,2,1,7,1,1,3,1,0
166,Col. of Charleston,CAA,171,0,1,0,4,4,0,5,1,9,6,2,2,5,2,2,2,1,0
167,Charlotte,American,181,0,2,0,1,1,4,6,1,7,8,1,3,6,3,0,2,1,0
168,Eastern Mich.,MAC,173,0,3,1,2,1,0,5,3,7,8,3,6,4,2,0,0,1,0
169,LIU,NEC,172,0,3,0,1,1,2,7,1,8,7,5,6,3,1,0,0,0,0
170,UC Davis,Big West,169,0,1,1,2,2,2,3,1,6,6,2,4,4,2,0,0,2,0
171,FIU,CUSA,160,0,3,0,0,1,2,5,1,6,6,0,4,6,2,0,0,3,0
172,Winthrop,Big South,170,0,3,0,1,2,0,5,4,7,8,2,7,4,1,1,0,3,0
