Team,MP,FG,FGA,FT,FTA,3P,3PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,FG%,FT%,3P%,2P%
Aquinas,200.0,17.0,53.0,5.0,8.0,11.0,23.0,4.0,16.0,20.0,10.0,7.0,2.0,30.0,18.0,50.0,0.0,1.0,0.32,0.62,0.48,0.2
Arizona,2200.0,347.0,675.0,204.0,282.0,70.0,193.0,144.0,304.0,448.0,203.0,94.0,44.0,134.0,184.0,968.0,11.0,0.0,0.52,0.72,0.35,0.58
Arizona State,2600.0,344.0,741.0,248.0,331.0,104.0,290.0,97.0,291.0,388.0,175.0,95.0,49.0,136.0,231.0,1040.0,9.0,4.0,0.47,0.75,0.36,0.53
Arkansas,2400.0,367.0,754.0,230.0,305.0,110.0,287.0,119.0,290.0,409.0,211.0,96.0,54.0,115.0,194.0,1074.0,9.0,3.0,0.49,0.76,0.39,0.55
Arkansas Baptist,600.0,69.0,185.0,42.0,49.0,11.0,51.0,18.0,71.0,89.0,21.0,32.0,11.0,44.0,65.0,191.0,0.0,3.0,0.37,0.85,0.21,0.43
Arkansas State,2625.0,365.0,803.0,233.0,297.0,103.0,333.0,149.0,323.0,472.0,186.0,95.0,31.0,184.0,251.0,1066.0,9.0,4.0,0.45,0.79,0.31,0.55
Arkansas-Pine Bluff,2600.0,373.0,857.0,176.0,228.0,103.0,325.0,124.0,298.0,422.0,222.0,99.0,43.0,190.0,272.0,1025.0,3.0,10.0,0.43,0.76,0.31,0.5
Arlington Baptist,400.0,41.0,115.0,31.0,42.0,8.0,26.0,8.0,37.0,45.0,23.0,17.0,4.0,44.0,32.0,121.0,0.0,2.0,0.36,0.72,0.32,0.37
Army,2425.0,305.0,748.0,131.0,177.0,130.0,403.0,119.0,280.0,399.0,175.0,72.0,12.0,140.0,219.0,871.0,5.0,7.0,0.41,0.74,0.32,0.51
Auburn,2425.0,337.0,722.0,239.0,326.0,98.0,291.0,136.0,270.0,406.0,164.0,93.0,52.0,131.0,190.0,1011.0,8.0,4.0,0.47,0.74,0.34,0.56
Auburn Montgomery,200.0,14.0,66.0,6.0,15.0,5.0,32.0,12.0,19.0,31.0,7.0,15.0,4.0,13.0,14.0,39.0,0.0,1.0,0.21,0.4,0.16,0.26
Austin Peay,2000.0,268.0,617.0,134.0,192.0,93.0,271.0,93.0,232.0,325.0,166.0,106.0,24.0,117.0,177.0,763.0,5.0,5.0,0.43,0.71,0.33,0.51
Averett,200.0,15.0,50.0,18.0,23.0,4.0,17.0,6.0,10.0,16.0,8.0,3.0,1.0,30.0,24.0,52.0,0.0,1.0,0.3,0.78,0.24,0.33
BYU,2400.0,363.0,728.0,197.0,263.0,104.0,284.0,109.0,317.0,426.0,180.0,110.0,57.0,116.0,164.0,1027.0,11.0,1.0,0.5,0.76,0.37,0.59
